original,normalized
Woods Hole Oceanographic Institution ,Woods Hole Oceanographic Institution
Helmholtz-Zentrum Dresden-Rossendorf,Helmholtz-Zentrum Dresden Rossendorf
"National University of Ireland, Galway",National University of Ireland Galway
Helmholtz-Zentrum Berlin,Helmholtz Zentrum Berlin
All India Institute of Medical Sciences,All India Institute Of Medical Sciences
GRNET S.A,GRNET S.A.
Curtin University ,Curtin University
Laboratório nacional de Engenharia Civil (LNEC),Laboratório Nacional de Engenharia Civil (LNEC)
Université Lumière Lyon 2,Université Lumière (Lyon)
Washington University In St.Louis,Washington University in St. Louis
Università Ca'Foscari,Università Ca' Foscari
Swiss Federal Institute of Aquatic Science and Technology (Eawag),Swiss Federal Institute of Aquatic Science and Technology (EAWAG)
University of Pittsburgh ,University of Pittsburgh
REVUER,Re-Vuer
Indiana University–Purdue University Indianapolis (IUPUI),Indiana University-Purdue University Indianapolis (IUPUI)
"University of Technology, Sydney",University of Technology Sydney
US Department of Transportation,U.S. Department of Transportation
California Institute of Technology (Caltech),California Institute of Technology (CalTech)
Institut national de la recherche agronomique (INRA),Institut National de la Recherche Agronomique (INRA)
Paris Observatory - PSL,Paris Observatory (PSL)
Solidaridad network,Solidaridad Network
University of South-Eastern Norway (USN),University of South Eastern Norway (USN)
Université Toulouse III Paul Sabatier,Université Paul Sabatier Toulouse III
WZB Berlin Social Science Center,Berlin Social Science Center (WZB)
Royal Danish Library,Danish Royal Library
University Carlos III of Madrid,Carlos III University of Madrid
Spanish National Research Council (CSIC),CSIC - Spanish National Research Council
Vienna University of Technology,University of Technology Vienna
Meise Botanic Garden,Botanic Garden Meise
Technical University Gheorghe Asachi of Iasi,Gheorghe Asachi Technical University of Iasi
BCBL BASQUE CENTER ON COGNITION BRAIN AND LANGUAGE,"Basque Center on Cognition, Brain and Language (BCBL)"
"Department of Agriculture, Western Cape",Western Cape Department of Agriculture
University of Technology Graz,Graz University of Technology
Agencia Nacional de Investigación e Innovación - ANII,Agencia Nacional de Investigación e Innovación (ANII)
University Sidi Mohamed Ben Abdellah,Sidi Mohamed ben Abdellah University
University Maastricht,Maastricht University
Université Paris Nanterre,Paris Nanterre Université
Ştefan cel Mare University of Suceava,University Stefan cel Mare of Suceava
Universidad Autónoma de Madrid,Universidad Autonoma de Madrid
Centre de Données astronomiques de Strasbourg (CDS),Centre de Donnees astronomiques de Strasbourg (CDS)
State and University Library Göttingen,Göttingen State and University Library
Universitat Barcelona,Universitat de Barcelona
University Freiburg,University of Freiburg
University of Oslo,University of Oslo (UiO)
Rensselear Polytechnic Institute (RPI),Rensselaer Polytechnic Institute (RPI)
Hokkaido University,Hokkaido University (HU)
Università degli Studi di Milano,Univeristà degli Studi di Milano
Purdue University,Purdue Univeristy
German Centre for Neurodegenerative Diseases (DZNE),German Center for Neurodegenerative Diseases (DZNE)
Instituto de Astrofísica de Andalucía,Instituto de Astrofísica de Andalucía (IAA)
